original_filename,augmented_filename,augmentation_type,parameters
0000009_00009_d_0000001.jpg,0000009_00009_d_0000001_bright.jpg,bright,"{'alpha': 1.38, 'beta': 63}"
0000009_00009_d_0000001.jpg,0000009_00009_d_0000001_lowcontrast.jpg,lowcontrast,"{'alpha': 0.56, 'mean': np.float64(138.49)}"
0000009_00009_d_0000001.jpg,0000009_00009_d_0000001_noise.jpg,noise,{'sigma': 7}
0000009_00811_d_0000003.jpg,0000009_00811_d_0000003_original.jpg,original,{}
0000009_00811_d_0000003.jpg,0000009_00811_d_0000003_blur.jpg,blur,{'kernel_size': 13}
0000009_00811_d_0000003.jpg,0000009_00811_d_0000003_dark.jpg,dark,"{'alpha': 0.69, 'beta': -8}"
0000009_00811_d_0000003.jpg,0000009_00811_d_0000003_bright.jpg,bright,"{'alpha': 1.21, 'beta': 79}"
0000009_00811_d_0000003.jpg,0000009_00811_d_0000003_lowcontrast.jpg,lowcontrast,"{'alpha': 0.56, 'mean': np.float64(132.51)}"
0000009_00811_d_0000003.jpg,0000009_00811_d_0000003_noise.jpg,noise,{'sigma': 8}
0000009_01339_d_0000005.jpg,0000009_01339_d_0000005_original.jpg,original,{}
0000009_01339_d_0000005.jpg,0000009_01339_d_0000005_blur.jpg,blur,{'kernel_size': 17}
0000009_01339_d_0000005.jpg,0000009_01339_d_0000005_dark.jpg,dark,"{'alpha': 0.86, 'beta': -19}"
0000009_01339_d_0000005.jpg,0000009_01339_d_0000005_bright.jpg,bright,"{'alpha': 1.19, 'beta': 22}"
0000009_01339_d_0000005.jpg,0000009_01339_d_0000005_lowcontrast.jpg,lowcontrast,"{'alpha': 0.62, 'mean': np.float64(134.31)}"
0000009_01339_d_0000005.jpg,0000009_01339_d_0000005_noise.jpg,noise,{'sigma': 11}
0000009_01723_d_0000006.jpg,0000009_01723_d_0000006_original.jpg,original,{}
0000009_01723_d_0000006.jpg,0000009_01723_d_0000006_blur.jpg,blur,{'kernel_size': 15}
0000009_01723_d_0000006.jpg,0000009_01723_d_0000006_dark.jpg,dark,"{'alpha': 0.67, 'beta': -10}"
0000009_01723_d_0000006.jpg,0000009_01723_d_0000006_bright.jpg,bright,"{'alpha': 1.19, 'beta': 51}"
0000009_01723_d_0000006.jpg,0000009_01723_d_0000006_lowcontrast.jpg,lowcontrast,"{'alpha': 0.46, 'mean': np.float64(126.35)}"
0000009_01723_d_0000006.jpg,0000009_01723_d_0000006_noise.jpg,noise,{'sigma': 12}
0000009_01947_d_0000007.jpg,0000009_01947_d_0000007_original.jpg,original,{}
0000009_01947_d_0000007.jpg,0000009_01947_d_0000007_blur.jpg,blur,{'kernel_size': 11}
0000009_01947_d_0000007.jpg,0000009_01947_d_0000007_dark.jpg,dark,"{'alpha': 0.72, 'beta': -13}"
0000009_01947_d_0000007.jpg,0000009_01947_d_0000007_bright.jpg,bright,"{'alpha': 1.4, 'beta': 54}"
0000009_01947_d_0000007.jpg,0000009_01947_d_0000007_lowcontrast.jpg,lowcontrast,"{'alpha': 0.41, 'mean': np.float64(127.05)}"
0000009_01947_d_0000007.jpg,0000009_01947_d_0000007_noise.jpg,noise,{'sigma': 11}
0000009_03179_d_0000010.jpg,0000009_03179_d_0000010_original.jpg,original,{}
0000009_03179_d_0000010.jpg,0000009_03179_d_0000010_blur.jpg,blur,{'kernel_size': 19}
0000009_03179_d_0000010.jpg,0000009_03179_d_0000010_dark.jpg,dark,"{'alpha': 0.74, 'beta': -16}"
0000009_03179_d_0000010.jpg,0000009_03179_d_0000010_bright.jpg,bright,"{'alpha': 1.3, 'beta': 25}"
0000009_03179_d_0000010.jpg,0000009_03179_d_0000010_lowcontrast.jpg,lowcontrast,"{'alpha': 0.6, 'mean': np.float64(123.81)}"
0000009_03179_d_0000010.jpg,0000009_03179_d_0000010_noise.jpg,noise,{'sigma': 6}
0000009_03611_d_0000011.jpg,0000009_03611_d_0000011_original.jpg,original,{}
0000009_03611_d_0000011.jpg,0000009_03611_d_0000011_blur.jpg,blur,{'kernel_size': 11}
0000009_03611_d_0000011.jpg,0000009_03611_d_0000011_dark.jpg,dark,"{'alpha': 0.81, 'beta': -7}"
0000009_03611_d_0000011.jpg,0000009_03611_d_0000011_bright.jpg,bright,"{'alpha': 1.34, 'beta': 44}"
0000009_03611_d_0000011.jpg,0000009_03611_d_0000011_lowcontrast.jpg,lowcontrast,"{'alpha': 0.45, 'mean': np.float64(134.93)}"
0000009_03611_d_0000011.jpg,0000009_03611_d_0000011_noise.jpg,noise,{'sigma': 12}
0000009_03907_d_0000012.jpg,0000009_03907_d_0000012_original.jpg,original,{}
0000009_03907_d_0000012.jpg,0000009_03907_d_0000012_blur.jpg,blur,{'kernel_size': 15}
0000009_03907_d_0000012.jpg,0000009_03907_d_0000012_dark.jpg,dark,"{'alpha': 0.89, 'beta': -20}"
0000009_03907_d_0000012.jpg,0000009_03907_d_0000012_bright.jpg,bright,"{'alpha': 1.37, 'beta': 27}"
0000009_03907_d_0000012.jpg,0000009_03907_d_0000012_lowcontrast.jpg,lowcontrast,"{'alpha': 0.57, 'mean': np.float64(144.17)}"
0000009_03907_d_0000012.jpg,0000009_03907_d_0000012_noise.jpg,noise,{'sigma': 9}
0000009_04379_d_0000013.jpg,0000009_04379_d_0000013_original.jpg,original,{}
0000009_04379_d_0000013.jpg,0000009_04379_d_0000013_blur.jpg,blur,{'kernel_size': 17}
0000009_04379_d_0000013.jpg,0000009_04379_d_0000013_dark.jpg,dark,"{'alpha': 0.68, 'beta': -7}"
0000009_04379_d_0000013.jpg,0000009_04379_d_0000013_bright.jpg,bright,"{'alpha': 1.16, 'beta': 20}"
0000009_04379_d_0000013.jpg,0000009_04379_d_0000013_lowcontrast.jpg,lowcontrast,"{'alpha': 0.68, 'mean': np.float64(147.07)}"
0000009_04379_d_0000013.jpg,0000009_04379_d_0000013_noise.jpg,noise,{'sigma': 9}
0000009_04763_d_0000014.jpg,0000009_04763_d_0000014_original.jpg,original,{}
0000009_04763_d_0000014.jpg,0000009_04763_d_0000014_blur.jpg,blur,{'kernel_size': 11}
0000009_04763_d_0000014.jpg,0000009_04763_d_0000014_dark.jpg,dark,"{'alpha': 0.78, 'beta': -17}"
0000009_04763_d_0000014.jpg,0000009_04763_d_0000014_bright.jpg,bright,"{'alpha': 1.45, 'beta': 39}"
0000009_04763_d_0000014.jpg,0000009_04763_d_0000014_lowcontrast.jpg,lowcontrast,"{'alpha': 0.64, 'mean': np.float64(144.26)}"
0000009_04763_d_0000014.jpg,0000009_04763_d_0000014_noise.jpg,noise,{'sigma': 8}
0000025_00140_d_0000001.jpg,0000025_00140_d_0000001_original.jpg,original,{}
0000025_00140_d_0000001.jpg,0000025_00140_d_0000001_blur.jpg,blur,{'kernel_size': 11}
0000025_00140_d_0000001.jpg,0000025_00140_d_0000001_dark.jpg,dark,"{'alpha': 0.74, 'beta': -15}"
0000025_00140_d_0000001.jpg,0000025_00140_d_0000001_bright.jpg,bright,"{'alpha': 1.32, 'beta': 69}"
0000025_00140_d_0000001.jpg,0000025_00140_d_0000001_lowcontrast.jpg,lowcontrast,"{'alpha': 0.67, 'mean': np.float64(105.57)}"
0000025_00140_d_0000001.jpg,0000025_00140_d_0000001_noise.jpg,noise,{'sigma': 5}
0000025_01164_d_0000002.jpg,0000025_01164_d_0000002_original.jpg,original,{}
0000025_01164_d_0000002.jpg,0000025_01164_d_0000002_blur.jpg,blur,{'kernel_size': 17}
0000025_01164_d_0000002.jpg,0000025_01164_d_0000002_dark.jpg,dark,"{'alpha': 0.77, 'beta': -17}"
0000025_01164_d_0000002.jpg,0000025_01164_d_0000002_bright.jpg,bright,"{'alpha': 1.47, 'beta': 76}"
0000025_01164_d_0000002.jpg,0000025_01164_d_0000002_lowcontrast.jpg,lowcontrast,"{'alpha': 0.69, 'mean': np.float64(129.46)}"
0000025_01164_d_0000002.jpg,0000025_01164_d_0000002_noise.jpg,noise,{'sigma': 9}
0000025_02087_d_0000003.jpg,0000025_02087_d_0000003_original.jpg,original,{}
0000025_02087_d_0000003.jpg,0000025_02087_d_0000003_blur.jpg,blur,{'kernel_size': 13}
0000025_02087_d_0000003.jpg,0000025_02087_d_0000003_dark.jpg,dark,"{'alpha': 0.66, 'beta': -18}"
0000025_02087_d_0000003.jpg,0000025_02087_d_0000003_bright.jpg,bright,"{'alpha': 1.13, 'beta': 51}"
0000025_02087_d_0000003.jpg,0000025_02087_d_0000003_lowcontrast.jpg,lowcontrast,"{'alpha': 0.63, 'mean': np.float64(137.06)}"
0000025_02087_d_0000003.jpg,0000025_02087_d_0000003_noise.jpg,noise,{'sigma': 7}
0000025_02891_d_0000004.jpg,0000025_02891_d_0000004_original.jpg,original,{}
0000025_02891_d_0000004.jpg,0000025_02891_d_0000004_blur.jpg,blur,{'kernel_size': 11}
0000025_02891_d_0000004.jpg,0000025_02891_d_0000004_dark.jpg,dark,"{'alpha': 0.81, 'beta': -15}"
0000025_02891_d_0000004.jpg,0000025_02891_d_0000004_bright.jpg,bright,"{'alpha': 1.21, 'beta': 75}"
0000025_02891_d_0000004.jpg,0000025_02891_d_0000004_lowcontrast.jpg,lowcontrast,"{'alpha': 0.54, 'mean': np.float64(132.07)}"
0000025_02891_d_0000004.jpg,0000025_02891_d_0000004_noise.jpg,noise,{'sigma': 8}
0000025_03777_d_0000005.jpg,0000025_03777_d_0000005_original.jpg,original,{}
0000025_03777_d_0000005.jpg,0000025_03777_d_0000005_blur.jpg,blur,{'kernel_size': 13}
0000025_03777_d_0000005.jpg,0000025_03777_d_0000005_dark.jpg,dark,"{'alpha': 0.83, 'beta': -8}"
0000025_03777_d_0000005.jpg,0000025_03777_d_0000005_bright.jpg,bright,"{'alpha': 1.5, 'beta': 61}"
0000025_03777_d_0000005.jpg,0000025_03777_d_0000005_lowcontrast.jpg,lowcontrast,"{'alpha': 0.45, 'mean': np.float64(128.27)}"
0000025_03777_d_0000005.jpg,0000025_03777_d_0000005_noise.jpg,noise,{'sigma': 12}
0000028_00122_d_0000001.jpg,0000028_00122_d_0000001_original.jpg,original,{}
0000028_00122_d_0000001.jpg,0000028_00122_d_0000001_blur.jpg,blur,{'kernel_size': 9}
0000028_00122_d_0000001.jpg,0000028_00122_d_0000001_dark.jpg,dark,"{'alpha': 0.71, 'beta': -18}"
0000028_00122_d_0000001.jpg,0000028_00122_d_0000001_bright.jpg,bright,"{'alpha': 1.24, 'beta': 57}"
0000028_00122_d_0000001.jpg,0000028_00122_d_0000001_lowcontrast.jpg,lowcontrast,"{'alpha': 0.52, 'mean': np.float64(59.92)}"
0000028_00122_d_0000001.jpg,0000028_00122_d_0000001_noise.jpg,noise,{'sigma': 8}
0000053_00539_d_0000002.jpg,0000053_00539_d_0000002_original.jpg,original,{}
0000053_00539_d_0000002.jpg,0000053_00539_d_0000002_blur.jpg,blur,{'kernel_size': 7}
0000053_00539_d_0000002.jpg,0000053_00539_d_0000002_dark.jpg,dark,"{'alpha': 0.67, 'beta': -19}"
0000053_00539_d_0000002.jpg,0000053_00539_d_0000002_bright.jpg,bright,"{'alpha': 1.19, 'beta': 77}"
0000053_00539_d_0000002.jpg,0000053_00539_d_0000002_lowcontrast.jpg,lowcontrast,"{'alpha': 0.31, 'mean': np.float64(29.54)}"
0000053_00539_d_0000002.jpg,0000053_00539_d_0000002_noise.jpg,noise,{'sigma': 10}
0000064_01771_d_0000003.jpg,0000064_01771_d_0000003_original.jpg,original,{}
0000064_01771_d_0000003.jpg,0000064_01771_d_0000003_blur.jpg,blur,{'kernel_size': 9}
0000064_01771_d_0000003.jpg,0000064_01771_d_0000003_dark.jpg,dark,"{'alpha': 0.78, 'beta': -12}"
0000064_01771_d_0000003.jpg,0000064_01771_d_0000003_bright.jpg,bright,"{'alpha': 1.37, 'beta': 33}"
0000064_01771_d_0000003.jpg,0000064_01771_d_0000003_lowcontrast.jpg,lowcontrast,"{'alpha': 0.52, 'mean': np.float64(77.29)}"
0000064_01771_d_0000003.jpg,0000064_01771_d_0000003_noise.jpg,noise,{'sigma': 12}
0000067_00249_d_0000001.jpg,0000067_00249_d_0000001_original.jpg,original,{}
0000067_00249_d_0000001.jpg,0000067_00249_d_0000001_blur.jpg,blur,{'kernel_size': 13}
0000067_00249_d_0000001.jpg,0000067_00249_d_0000001_dark.jpg,dark,"{'alpha': 0.85, 'beta': -7}"
0000067_00249_d_0000001.jpg,0000067_00249_d_0000001_bright.jpg,bright,"{'alpha': 1.18, 'beta': 26}"
0000067_00249_d_0000001.jpg,0000067_00249_d_0000001_lowcontrast.jpg,lowcontrast,"{'alpha': 0.56, 'mean': np.float64(141.27)}"
0000067_00249_d_0000001.jpg,0000067_00249_d_0000001_noise.jpg,noise,{'sigma': 10}
0000067_01050_d_0000002.jpg,0000067_01050_d_0000002_original.jpg,original,{}
0000067_01050_d_0000002.jpg,0000067_01050_d_0000002_blur.jpg,blur,{'kernel_size': 19}
0000067_01050_d_0000002.jpg,0000067_01050_d_0000002_dark.jpg,dark,"{'alpha': 0.75, 'beta': -19}"
0000067_01050_d_0000002.jpg,0000067_01050_d_0000002_bright.jpg,bright,"{'alpha': 1.37, 'beta': 61}"
0000067_01050_d_0000002.jpg,0000067_01050_d_0000002_lowcontrast.jpg,lowcontrast,"{'alpha': 0.34, 'mean': np.float64(131.04)}"
0000067_01050_d_0000002.jpg,0000067_01050_d_0000002_noise.jpg,noise,{'sigma': 11}
0000067_01852_d_0000003.jpg,0000067_01852_d_0000003_original.jpg,original,{}
0000067_01852_d_0000003.jpg,0000067_01852_d_0000003_blur.jpg,blur,{'kernel_size': 17}
0000067_01852_d_0000003.jpg,0000067_01852_d_0000003_dark.jpg,dark,"{'alpha': 0.85, 'beta': -17}"
0000067_01852_d_0000003.jpg,0000067_01852_d_0000003_bright.jpg,bright,"{'alpha': 1.2, 'beta': 32}"
0000067_01852_d_0000003.jpg,0000067_01852_d_0000003_lowcontrast.jpg,lowcontrast,"{'alpha': 0.51, 'mean': np.float64(123.27)}"
0000067_01852_d_0000003.jpg,0000067_01852_d_0000003_noise.jpg,noise,{'sigma': 7}
0000067_03139_d_0000005.jpg,0000067_03139_d_0000005_original.jpg,original,{}
0000067_03139_d_0000005.jpg,0000067_03139_d_0000005_blur.jpg,blur,{'kernel_size': 19}
0000067_03139_d_0000005.jpg,0000067_03139_d_0000005_dark.jpg,dark,"{'alpha': 0.7, 'beta': -6}"
0000067_03139_d_0000005.jpg,0000067_03139_d_0000005_bright.jpg,bright,"{'alpha': 1.2, 'beta': 79}"
0000067_03139_d_0000005.jpg,0000067_03139_d_0000005_lowcontrast.jpg,lowcontrast,"{'alpha': 0.33, 'mean': np.float64(123.73)}"
0000067_03139_d_0000005.jpg,0000067_03139_d_0000005_noise.jpg,noise,{'sigma': 6}
