filename,original_filename,degradation_type,width,height,blur_score,brightness,contrast,quality_issues,quality_status,predicted_degradation_type,prediction_correct
0000185_01401_d_0000186_noise.jpg,0000185_01401_d_0000186.jpg,noise,960,540,1392.0,127.82,69.05,none,usable,original,False
0000188_00642_d_0000195_lowcontrast.jpg,0000188_00642_d_0000195.jpg,lowcontrast,960,540,442.19,97.67,46.42,none,usable,original,False
0000188_00642_d_0000195_noise.jpg,0000188_00642_d_0000195.jpg,noise,960,540,2026.17,98.19,66.74,none,usable,original,False
0000188_00960_d_0000197_dark.jpg,0000188_00960_d_0000197.jpg,dark,960,540,155.29,72.46,18.14,low_contrast,not_usable,lowcontrast,False
0000188_00960_d_0000197_noise.jpg,0000188_00960_d_0000197.jpg,noise,960,540,511.64,105.82,25.0,low_contrast,not_usable,lowcontrast,False
0000188_00960_d_0000197_original.jpg,0000188_00960_d_0000197.jpg,original,960,540,281.38,105.85,24.76,low_contrast,not_usable,lowcontrast,False
0000232_00800_d_0000009_original.jpg,0000232_00800_d_0000009.jpg,original,960,540,3825.95,109.03,55.42,none,usable,noise,False
0000233_02450_d_0000009_bright.jpg,0000233_02450_d_0000009.jpg,bright,960,540,3004.29,168.22,66.24,none,usable,noise,False
0000233_02450_d_0000009_original.jpg,0000233_02450_d_0000009.jpg,original,960,540,2292.51,116.3,58.06,none,usable,noise,False
0000233_02650_d_0000011_original.jpg,0000233_02650_d_0000011.jpg,original,960,540,3675.94,114.88,57.74,none,usable,noise,False
0000255_01200_d_0000005_bright.jpg,0000255_01200_d_0000005.jpg,bright,960,540,3221.46,159.76,56.19,none,usable,noise,False
0000255_01200_d_0000005_noise.jpg,0000255_01200_d_0000005.jpg,noise,960,540,3573.31,111.63,52.48,none,usable,original,False
0000255_01200_d_0000005_original.jpg,0000255_01200_d_0000005.jpg,original,960,540,2628.65,111.62,52.06,none,usable,noise,False
0000262_00000_d_0000001_original.jpg,0000262_00000_d_0000001.jpg,original,1360,765,964.82,129.25,32.84,low_contrast,not_usable,lowcontrast,False
0000292_03000_d_0000007_original.jpg,0000292_03000_d_0000007.jpg,original,1360,765,2084.24,111.98,52.06,none,usable,noise,False
0000311_00500_d_0000132_bright.jpg,0000311_00500_d_0000132.jpg,bright,1360,765,1814.58,157.82,50.89,none,usable,noise,False
0000311_00500_d_0000132_lowcontrast.jpg,0000311_00500_d_0000132.jpg,lowcontrast,1360,765,503.1,97.71,28.39,low_contrast,not_usable,dark,False
0000311_00500_d_0000132_original.jpg,0000311_00500_d_0000132.jpg,original,1360,765,1361.04,98.3,46.46,none,usable,dark,False
0000311_01500_d_0000134_original.jpg,0000311_01500_d_0000134.jpg,original,1360,765,982.74,123.94,41.78,none,usable,dark,False
0000319_03000_d_0000152_noise.jpg,0000319_03000_d_0000152.jpg,noise,1360,765,1332.35,119.43,46.76,none,usable,original,False
0000324_01500_d_0000160_original.jpg,0000324_01500_d_0000160.jpg,original,1360,765,1513.0,119.53,45.49,none,usable,noise,False
0000332_00600_d_0000028_original.jpg,0000332_00600_d_0000028.jpg,original,1360,765,789.09,120.48,34.42,low_contrast,not_usable,lowcontrast,False
0000350_02000_d_0000176_original.jpg,0000350_02000_d_0000176.jpg,original,1360,765,989.48,120.41,41.89,none,usable,dark,False
0000362_04000_d_0000220_dark.jpg,0000362_04000_d_0000220.jpg,dark,1360,765,661.82,125.72,36.24,none,usable,original,False
9999936_00000_d_0000009_original.jpg,9999936_00000_d_0000009.jpg,original,1916,1078,3086.81,151.46,58.93,none,usable,noise,False
9999936_00000_d_0000016_dark.jpg,9999936_00000_d_0000016.jpg,dark,1916,1078,1308.03,117.39,40.21,none,usable,noise,False
9999936_00000_d_0000016_original.jpg,9999936_00000_d_0000016.jpg,original,1916,1078,2156.74,163.62,52.81,none,usable,noise,False
9999936_00000_d_0000028_dark.jpg,9999936_00000_d_0000028.jpg,dark,1916,1078,973.41,137.92,52.21,none,usable,original,False
9999936_00000_d_0000028_noise.jpg,9999936_00000_d_0000028.jpg,noise,1916,1078,1468.28,173.73,59.03,none,usable,original,False
9999936_00000_d_0000030_dark.jpg,9999936_00000_d_0000030.jpg,dark,1916,1078,472.7,103.93,38.53,none,usable,lowcontrast,False
9999936_00000_d_0000038_dark.jpg,9999936_00000_d_0000038.jpg,dark,1916,1078,649.16,125.56,48.53,none,usable,original,False
9999936_00000_d_0000043_dark.jpg,9999936_00000_d_0000043.jpg,dark,1916,1078,831.44,109.22,37.64,none,usable,original,False
9999936_00000_d_0000043_original.jpg,9999936_00000_d_0000043.jpg,original,1916,1078,1821.64,170.13,55.09,none,usable,noise,False
9999936_00000_d_0000044_noise.jpg,9999936_00000_d_0000044.jpg,noise,1916,1078,2630.08,164.63,63.21,none,usable,original,False
